scroll,zarr,level,gap_close,n_slices,n_rays,wraps_p10,wraps_med,wraps_p90,lambda_med_lvlvox,lambda_p25,lambda_p75,lambda_med_L0vox,lambda_med_um,lambda_p25_um,lambda_p75_um,um_per_L0vox,MB_fetched
PHerc0490A,20250521151210-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,975,62.4,112.0,135.0,10.5,7.5,16.0,21.0,181.5,129.6,276.5,8.6417,2425.6
PHerc0490B,20250521151215-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,983,34.0,87.0,121.0,11.0,7.5,17.0,22.0,190.1,129.6,293.8,8.6417,1650.1
PHerc0500P2,20250820143440-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,812,4.0,17.0,27.9,10.5,7.0,18.0,21.0,196.6,131.1,337.0,9.3625,62.7
PHerc0800,20250521135224-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,77.3,103.0,128.0,11.0,8.0,16.5,22.0,190.1,138.3,285.2,8.6417,2455.9
PHerc0813,20250821151723-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1002,64.0,87.0,104.0,10.0,7.5,15.5,20.0,187.3,140.5,290.3,9.3636,1486.3
PHerc0814,20260309142202-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,1024,50.3,67.0,83.7,10.0,7.0,15.0,20.0,191.9,134.3,287.9,9.5955,853.7
PHerc0826,20250821151701-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,36.0,60.0,77.0,11.0,7.5,17.0,22.0,206.0,140.4,318.3,9.3625,778.9
PHerc0841,20260319124803-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,1024,66.0,81.0,94.0,9.5,7.0,13.5,19.0,182.7,134.6,259.6,9.6136,1065.1
PHerc0846A,20260319102732-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,1024,63.0,86.0,102.0,10.5,7.5,15.5,21.0,201.9,144.2,298.0,9.6125,1313.9
PHerc0846B,20250804142305-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1005,42.4,77.0,103.0,10.5,7.5,16.0,21.0,196.6,140.5,299.6,9.3636,1252.3
PHerc1203,20260319130212-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,1024,56.3,70.0,82.0,10.0,7.0,14.5,20.0,192.3,134.6,278.8,9.6136,866.7
PHerc1218,20250521120456-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,50.0,67.0,83.0,10.0,7.5,15.0,20.0,172.8,129.6,259.2,8.6409,866.2
PHerc1299,20260309130042-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,1024,19.0,35.0,54.0,10.0,7.0,16.5,20.0,191.9,134.3,316.7,9.5955,387.1
PHerc1447,20250521151220-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,63.3,80.0,105.0,10.0,7.0,14.5,20.0,172.8,121.0,250.6,8.6409,1153.0
PHerc1451,20260319101107-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,1024,53.0,60.0,69.0,9.0,6.5,12.5,18.0,172.7,124.7,239.9,9.595,507.2
PHerc1545,20250821151648-surface-20260413222639-surface-m7-L0-th0.2.zarr,1,0,16,1024,45.0,71.0,96.0,10.0,7.0,15.0,20.0,187.3,131.1,280.9,9.3636,988.6
PHercMAN5,20260311104824-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,1024,20.0,30.0,39.0,10.5,7.5,17.5,21.0,201.5,143.9,335.9,9.5958,247.2
PHercMANB,20260323091048-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,803,7.0,48.0,82.0,10.5,7.5,17.0,21.0,201.5,143.9,326.3,9.5958,632.1
PHercMANBp,20251216152116-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,739,3.0,8.0,12.0,14.5,8.0,33.0,29.0,278.3,153.6,633.4,9.5969,29.1
PHercParis4,20260411134726-surface-20260413222639-surface-m7-L2-th0.2.zarr,1,0,16,1024,78.0,99.0,119.0,9.5,7.0,13.5,19.0,182.4,134.4,259.2,9.6,1504.7
